rnc-era-recO-pdxJ-acpS	b2563
mtlADR	b3599
mtlADR	b3600
mtlADR	b3601
ispG-sroE	b2515
gadAXW	b3517
gadAXW	b3516
gadAXW	b3515
uspA	b3495
fecABCDE	b4291
fecABCDE	b4290
fecABCDE	b4289
fecABCDE	b4288
fecABCDE	b4287
hybOABCDEFG	b2997
hybOABCDEFG	b2996
hybOABCDEFG	b2995
hybOABCDEFG	b2994
hybOABCDEFG	b2993
hybOABCDEFG	b2992
hybOABCDEFG	b2991
hybOABCDEFG	b2990
yjaB	b4012
malEFG	b4034
malEFG	b4033
malEFG	b4032
yicR-rpmBG-mutM	b3638
yicR-rpmBG-mutM	b3637
yicR-rpmBG-mutM	b3636
yicR-rpmBG-mutM	b3635
lpxL	b1054
speF-potE	b0693
speF-potE	b0692
potFGHI	b0854
potFGHI	b0855
potFGHI	b0856
potFGHI	b0857
hflD-purB	b1132
hflD-purB	b1131
manA	b1613
argS	b1876
rspAB	b1581
rspAB	b1580
glrR-glnB	b2554
glrR-glnB	b2553
mdfA	b0842
yhdT-panF-prmA	b3257
yhdT-panF-prmA	b3258
yhdT-panF-prmA	b3259
cmk-rpsA-ihfB	b0910
cmk-rpsA-ihfB	b0911
cmk-rpsA-ihfB	b0912
ldrD	b4453
ybgIJKL-nei	b0710
ybgIJKL-nei	b0711
ybgIJKL-nei	b0712
ybgIJKL-nei	b0713
ybgIJKL-nei	b0714
gltA	b0720
degQS	b3234
degQS	b3235
thrS-infC-rpmI-rplT-pheMST-ihfA	b1719
thrS-infC-rpmI-rplT-pheMST-ihfA	b1718
thrS-infC-rpmI-rplT-pheMST-ihfA	b1717
thrS-infC-rpmI-rplT-pheMST-ihfA	b1716
thrS-infC-rpmI-rplT-pheMST-ihfA	b1715
thrS-infC-rpmI-rplT-pheMST-ihfA	b1714
thrS-infC-rpmI-rplT-pheMST-ihfA	b1713
thrS-infC-rpmI-rplT-pheMST-ihfA	b1712
cspE	b0623
ychQA-kdsA	b1213
ychQA-kdsA	b1214
ychQA-kdsA	b1215
fumAC	b1612
fumAC	b1611
glcC	b2980
epd-pgk-fbaA	b2927
epd-pgk-fbaA	b2926
epd-pgk-fbaA	b2925
rutR	b1013
marC	b1529
nrdR-ribDE-nusB-thiL-pgpA	b0413
nrdR-ribDE-nusB-thiL-pgpA	b0414
nrdR-ribDE-nusB-thiL-pgpA	b0415
nrdR-ribDE-nusB-thiL-pgpA	b0416
nrdR-ribDE-nusB-thiL-pgpA	b0417
nrdR-ribDE-nusB-thiL-pgpA	b0418
mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	b0081
mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	b0082
mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	b0083
mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	b0084
mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	b0085
mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	b0086
mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	b0087
